434,1667,mặt nạ,17000.0,10,170000.0,7368
67,1667,mặt nạ,17000.0,10,170000.0,4552
815,1664,Mascara,170000.0,2,340000.0,1440
981,1662,phấn phủ,150000.0,2,300000.0,1440
43912,1685,Nước hoa hồng,250000.0,2,500000.0,39520
57958,1684,Kem chống nắng,200000.0,5,1000000.0,39520
7759,1662,Phấn phủ,250000.0,2,500000.0,96952
17152,1665,Khoáng cấp ẩm,500000.0,2,1000000.0,96952
27995,1661,Phấn nước,200000.0,2,400000.0,22817
44607,1665,Khoáng cấp ẩm,500000.0,2,1000000.0,22817
54751,1663,Son,100000.0,2,200000.0,48935
64693,1665,Khoáng cấp ẩm,500000.0,3,1500000.0,48935
73268,1685,Nước hoa hồng,250000.0,2,500000.0,48935
28971,1688,Nước tẩy trang,150000.0,2,300000.0,48935
89670,1663,Son,100000.0,2,200000.0,84881
95993,1662,Phấn phủ,250000.0,1,250000.0,84881
1927,1667,Mặt nạ,350000.0,2,700000.0,84881
11295,1664,Mascara,300000.0,2,600000.0,7229
16309,1665,Khoáng cấp ẩm,500000.0,2,1000000.0,7229
90861,1663,Son,100000.0,5,500000.0,850
8554,1688,Nước tẩy trang,150000.0,2,300000.0,850
73186,1661,Phấn nước,200000.0,2,400000.0,850
31964,1685,Nước hoa hồng,250000.0,2,500000.0,850
13951,1663,Son,100000.0,2,200000.0,3235
39485,1664,Mascara,300000.0,2,600000.0,3235
78410,1661,Phấn nước,200000.0,2,400000.0,72204
86823,1684,Kem chống nắng,200000.0,2,400000.0,72204
